platform,category,level,exam,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation
AWS,VPC,1,CP,VPCの主な役割として最も適切なものはどれですか？,AWS上で分離された仮想ネットワークを提供する,IAMユーザーを作成する,オブジェクトストレージを提供する,DNSレコードを管理する,0,VPCはAWS上でIPレンジやサブネットを設計できる仮想ネットワークです。
AWS,VPC,2,CP,インターネットから直接アクセスさせたくないEC2を配置する場所はどこですか？,パブリックサブネット,プライベートサブネット,インターネットゲートウェイ,NATゲートウェイ,1,外部公開しないEC2はプライベートサブネットに配置します。
AWS,VPC,3,CP,NATゲートウェイの主な用途は何ですか？,インターネットからの受信トラフィックを受ける,プライベートサブネットから外向き通信を可能にする,DNS名を解決する,VPC間を接続する,1,NATゲートウェイはプライベートサブネット内リソースのアウトバウンド通信を提供します。
AWS,EC2,1,CP,EC2とは何を提供するサービスですか？,仮想サーバー,オブジェクトストレージ,リレーショナルDB,CDN,0,EC2はElastic Compute Cloudであり仮想サーバーを提供します。
AWS,EC2,2,CP,EC2のセキュリティグループの説明として正しいものはどれですか？,サブネット単位で動作するステートレスフィルタ,インスタンス単位で動作するステートフルファイアウォール,IAMロールを発行する機能,OSレベルのパッチ適用機能,1,セキュリティグループはインスタンスに関連付くステートフルな仮想ファイアウォールです。
AWS,EC2,3,CP,Auto Scalingの目的として最も適切なものはどれですか？,ログの長期保存,アクセス増減に応じたインスタンス数の自動調整,暗号鍵の管理,DNSルーティング,1,Auto Scalingは負荷に応じてインスタンス数を自動増減し可用性とコスト最適化を支援します。
AWS,S3,1,CP,S3で保存されるデータ単位は何ですか？,ブロック,オブジェクト,レコード,ページ,1,S3はオブジェクトストレージでありデータはオブジェクトとして保存されます。
AWS,S3,2,CP,S3バケットをインターネット非公開に保つために有効な設定はどれですか？,パブリックアクセスブロックを有効化,バージョニングを有効化,ライフサイクルを設定,暗号化を無効化,0,パブリックアクセスブロックにより意図しない公開を防げます。
AWS,S3,3,CP,S3のライフサイクルポリシーで実現できることはどれですか？,EC2インスタンスの自動再起動,一定期間後にオブジェクトを低コストストレージへ移行,IAMユーザーの削除,VPCルートテーブルの更新,1,ライフサイクルは保存期間に応じてストレージクラス移行や削除を自動化できます。
AWS,IAM,1,CP,IAMの主な目的は何ですか？,ネットワーク分離,アクセス制御,ログ収集,コンテナ実行,1,IAMはAWSリソースへの認証と認可を制御します。
AWS,IAM,2,CP,最小権限の原則として適切な考え方はどれですか？,全ユーザーにAdministratorAccessを付与する,必要な操作だけを許可するポリシーを付与する,MFAを常に無効にする,アクセスキーを全員で共有する,1,最小権限は業務に必要な最小限の権限だけを与える原則です。
AWS,IAM,3,CP,EC2からS3へ安全にアクセスさせる一般的な方法はどれですか？,アクセスキーをAMIに埋め込む,IAMロールをEC2インスタンスにアタッチする,全S3バケットをパブリックにする,セキュリティグループでS3権限を設定する,1,EC2にはIAMロールを付与し一時的認証情報でアクセスさせるのが推奨です。
AWS,CloudWatch,1,CP,CloudWatch Metricsで主に扱うものはどれですか？,監査証跡,数値指標,SQLクエリ,DNSレコード,1,CloudWatch MetricsはCPU使用率などの時系列数値データを扱います。
AWS,CloudWatch,2,CP,CPU使用率がしきい値を超えたら通知したい場合に使う機能はどれですか？,CloudWatch Alarm,CloudTrail Event,Route 53 Health Check,AWS Config Rule,0,CloudWatch Alarmでメトリクスしきい値を監視しSNS通知などに連携できます。
AWS,CloudWatch,3,CP,アプリケーションログを一元的に収集と検索する際に使うCloudWatch機能はどれですか？,CloudWatch Logs,CloudWatch Synthetics,CloudFormation,AWS Backup,0,CloudWatch Logsはログの収集と検索と保持管理に利用します。
AWS,CloudTrail,1,CP,CloudTrailの主な用途はどれですか？,請求管理,API操作の監査ログ記録,コンテナオーケストレーション,キャッシュ管理,1,CloudTrailはAWS APIコール履歴を監査目的で記録します。
AWS,CloudTrail,2,CP,あるIAMユーザーが削除したS3バケット操作を追跡したい場合まず確認すべきサービスはどれですか？,CloudTrail,CloudFront,Trusted Advisor,Elastic Beanstalk,0,誰がいつ何を実行したかの追跡はCloudTrailが基本です。
AWS,CloudTrail,3,CP,CloudTrailログの改ざん耐性を高める設定として有効なものはどれですか？,ログ保存先をローカルPCにする,ログファイル整合性検証を有効化する,マルチAZを無効化する,MFAを無効化する,1,ログファイル整合性検証によりログ改ざんの検知が可能になります。
AWS,RDS,1,CP,RDSの説明として正しいものはどれですか？,フルマネージドなリレーショナルデータベース,オブジェクトストレージ,DNSサービス,メッセージキュー,0,RDSはMySQLやPostgreSQL等をマネージドで提供するサービスです。
AWS,RDS,2,CP,RDS Multi-AZの主な目的はどれですか？,読み取り性能最大化,高可用性の向上,コスト最小化のみ,アプリの自動デプロイ,1,Multi-AZはスタンバイレプリカを用いて障害時の可用性を高めます。
AWS,RDS,3,CP,本番DBの手動バックアップ運用を減らしたい最も適切な機能はどれですか？,自動バックアップとスナップショット,EC2 Auto Scaling,S3イベント通知,IAM Access Analyzer,0,RDSの自動バックアップ設定でポイントインタイムリカバリが可能になります。
AWS,Lambda,1,CP,Lambdaの特徴として正しいものはどれですか？,サーバー管理が必要,イベント駆動でコードを実行できる,常時起動VMのみ対応,オンプレ専用,1,Lambdaはサーバーレスでイベントに応じて関数を実行します。
AWS,Lambda,2,CP,S3へのファイルアップロードをトリガーに処理したい場合一般的な構成はどれですか？,S3イベント通知でLambdaを起動,Route 53でLambdaを起動,CloudTrailでLambdaを停止,RDSでLambdaを再起動,0,S3イベント通知はLambda連携の代表的なトリガーです。
AWS,Lambda,3,CP,Lambdaの同時実行数制御に関する説明で正しいものはどれですか？,同時実行数は常に固定で変更不可,予約済み同時実行で関数ごとに上限と確保を設定できる,同時実行数はS3バケット数で決まる,同時実行数はIAMユーザー数で決まる,1,予約済み同時実行により特定関数のスロット確保や制限ができます。
